fecha,video_id,titulo,provider,operation,units,coste
2026-07-27,,"",openai,idea_writeup,0,0.000000
2026-07-27,,"",openai,idea_writeup,0,0.000000
2026-07-27,,"",openai,idea_writeup,0,0.000000
2026-07-27,,"",openai,idea_writeup,0,0.000000
2026-07-27,,"",openai,idea_writeup,0,0.000000
2026-07-27,,"",openai,idea_writeup,0,0.000000
2026-07-27,,"",openai,idea_writeup,0,0.000000
2026-07-27,,"",openai,idea_writeup,0,0.000000
2026-07-27,,"",openai,idea_writeup,0,0.000000
2026-07-27,,"",openrouter,vlm_caption,0,0.000000
2026-07-27,,"",openrouter,idea_writeup,710,0.001033
2026-07-27,,"",openrouter,idea_writeup,613,0.000829
2026-07-27,,"",openrouter,idea_writeup,754,0.001104
2026-07-27,,"",openrouter,idea_writeup,571,0.000745
2026-07-27,,"",openrouter,idea_writeup,763,0.001132
2026-07-27,,"",openrouter,idea_writeup,703,0.001002
2026-07-27,,"",openrouter,idea_writeup,746,0.001079
2026-07-27,,"",openrouter,idea_writeup,684,0.000973
2026-07-27,,"",openrouter,idea_writeup,638,0.000879
2026-07-27,,"",openrouter,idea_writeup,710,0.001002
2026-07-27,,"",openrouter,idea_writeup,654,0.000899
2026-07-27,,"",openrouter,idea_writeup,585,0.000762
2026-07-27,,"",openrouter,idea_writeup,742,0.001097
2026-07-27,,"",openrouter,idea_writeup,636,0.000887
2026-07-27,,"",openrouter,idea_writeup,668,0.000951
2026-07-27,,"",openrouter,idea_writeup,531,0.000640
2026-07-27,,"",openrouter,idea_writeup,653,0.000911
2026-07-27,,"",openrouter,idea_writeup,709,0.001016
2026-07-27,,"",openrouter,idea_writeup,589,0.000804
2026-07-27,,"",openrouter,idea_writeup,588,0.000742
2026-07-27,,"",openrouter,idea_writeup,695,0.000977
2026-07-27,,"",openrouter,idea_writeup,675,0.000937
2026-07-27,,"",openrouter,idea_writeup,596,0.000811
2026-07-27,,"",openrouter,idea_writeup,701,0.001014
2026-07-27,,"",openrouter,idea_writeup,675,0.000962
2026-07-27,,"",openrouter,idea_writeup,753,0.001104
2026-07-27,,"",openrouter,idea_writeup,701,0.001012
2026-07-27,,"",openrouter,idea_writeup,660,0.000914
2026-07-27,,"",openrouter,idea_writeup,600,0.000747
2026-07-27,,"",openrouter,idea_writeup,678,0.000950
2026-07-27,,"",openrouter,idea_writeup,565,0.000729
2026-07-27,,"",openrouter,idea_writeup,773,0.001121
2026-07-27,,"",openrouter,idea_writeup,687,0.000970
2026-07-27,,"",openrouter,idea_writeup,0,0.000000
2026-07-27,,"",openrouter,idea_writeup,655,0.000932
2026-07-27,,"",openrouter,idea_writeup,0,0.000000
2026-07-27,,"",openrouter,idea_writeup,656,0.000889
2026-07-27,,"",openrouter,idea_writeup,671,0.000957
2026-07-27,,"",openrouter,idea_writeup,670,0.000939
2026-07-27,,"",openrouter,idea_writeup,662,0.000918
2026-07-27,,"",openrouter,idea_writeup,597,0.000799
2026-07-27,,"",openrouter,idea_writeup,784,0.001164
2026-07-27,,"",openrouter,idea_writeup,680,0.000954
2026-07-27,,"",openrouter,idea_writeup,670,0.000953
2026-07-27,,"",openrouter,idea_writeup,816,0.001202
2026-07-27,,"",openrouter,idea_writeup,614,0.000854
2026-07-27,,"",openrouter,idea_writeup,559,0.000730
2026-07-27,,"",openrouter,idea_writeup,766,0.001154
2026-07-27,,"",openrouter,idea_writeup,676,0.000955
2026-07-27,,"",openrouter,idea_writeup,583,0.000769
2026-07-27,,"",openrouter,idea_writeup,526,0.000653
2026-07-27,,"",openrouter,idea_writeup,823,0.001249
2026-07-27,,"",openrouter,idea_writeup,813,0.001227
2026-07-27,,"",openrouter,idea_writeup,698,0.000999
2026-07-27,,"",openrouter,idea_writeup,629,0.000887
2026-07-27,,"",openrouter,idea_writeup,679,0.000943
2026-07-27,,"",openrouter,idea_writeup,644,0.000886
2026-07-27,,"",openrouter,idea_writeup,632,0.000870
2026-07-27,,"",openrouter,idea_writeup,571,0.000740
2026-07-27,,"",openrouter,idea_writeup,711,0.001018
